ROLF HENNICKER,Web,1
CRAIG STANFILL,Parallel,1
ABDELSALAM HEDDAYA,Transaction,1
FéLIX BUENDíA,Modules,1
JOHN LIM,Natural,1
LILIANA FAVRE,Transform,1
DONNA HARMAN,Query,1
A. M. MORENO,Upper,1
SILVIA CLERICI,Static,1
NEELAM GUPTA,Data,1
RAJIV GUPTA,Testing,1
G. GONZáLEZ,Upper,1
SUSHIL JAJODIA,Semantics-based,1
ARTO SALOMAA,Truth,1
VISHU KRISHNAMURTHY,Extensibility,1
STEFANO ANTONIAZZI,Intelligent,1
MECHTHILD ROHEN,Interoperable,1
THOMAS W. REPS,Applications,1
GAIL E. KAISER,Transactions,1
A. M. MORENO,Case,2
CLAUDE DELOBEL,Environment,1
GIANLUIGI ZAVATTARO,Coordination,1
TERRY A. HALPIN,Uml,1
STEFANO PARABOSCHI,Rule,1
SERGE ABITEBOUL,Language,1
JIM DIEDERICH,Design,1
RAVI MUKKAMALA,Using,1
PETER WEGNER,The,1
GIANLUIGI ZAVATTARO,Guided,1
MICHAEL J. JIPPING,Paradigm,1
HARTMUT EHRIG,Theory,1
THOMAS W. REPS,Analysis,1
MANUEL CAEIRO,Environments,1
ELENA CASTRO,Preserving,1
JOSé ÁNGEL VADILLO ZORITA,Pedagogical,1
JEAN BERSTEL,Languages,1
ABDELSALAM HEDDAYA,Techniques,1
MIRA BALABAN,Model,1
MANUEL ALFONSECA,Multimedia,1
PALOMA MARTINEZ,Cardinality,1
SYLVIA L. OSBORN,Issues,1
MARKUS DIECKMANN,F�r,1
JOHN LIM,Experiments,1
BHARAT G. MITBANDER,Metaqueries,1
A. GONZáLEZ,Hyperspace,1
TOMáS A. PéREZ,User,1
JOHN DARLINGTON,Logic,1
ARMIN B. CREMERS,Logic,1
B. CURTO,Tools,1
JACOB STEIN,Dbms,1
ROLF HENNICKER,Systematic,1
JOHN DARLINGTON,Functional,1
M. N. MORENO,Upper,1
MIGUEL A. REDONDO,Synchronous,1
M. N. MORENO,Tools,1
VINCENZO MARZIALE,Solutions,1
YASUFUMI TAKAMA,Effects,1
REINHARD WILHELM,Analysis,1
LILIANA FAVRE,Code,1
DEAN ROSENZWEIG,Wam,1
DAVID J. DEWITT,Three,1
YASUYUKI SUMI,Conversations,1
MANUEL SERRANO,Data,1
PARIS C. KANELLAKIS,Identity,1
YUKIO OHSAWA,Information,1
DAVID MAIER,Workstation-server,1
NADIA BUSI,Models:,1
HARTMUT EHRIG,Development:,1
YASUFUMI TAKAMA,Hidden,1
VOLKER WEISPFENNING,Solving,1
JAN L. G. DIETZ,"Consistent,",1
SUBRAMANIAN RAJAGOPALAN,Digital,1
MARTíN LLAMAS NISTAL,Creating,1
HELEN PULL,Functional,1
JUAN C. BURGUILLO-RIAL,Www,1
PAUL SUETENS,Integration,1
A. GONZáLEZ,Systems,1
SYLVIA L. OSBORN,Database,1
A. GONZáLEZ,Guiding,1
BERND MAHR,Tapsoft,1
GAIL E. KAISER,Multiuser,1
PARIS C. KANELLAKIS,Theory,1
SERGE ABITEBOUL,Method,1
VINEETH KUMAR PALERI,Generation,1
Y. KIM,Techniques,1
JOSé ÁNGEL VADILLO ZORITA,Limiting,1
VALERIA DE ANTONELLIS,Computer-aided,1
A. GONZáLEZ,Element,1
VISHU KRISHNAMURTHY,Oracle,1
DAVID B. FOGEL,Why,1
M. LACRUZ,Environments,1
CLAUDE DELOBEL,Programming,1
SHARAD MALIK,Signal,1
ROBERTO GORRIERI,Guided,1
MANUEL ORTEGA,Drawing,1
STEVEN P. WARTIK,Hashing,1
ALFREDO FERNáNDEZ-VALMAYOR,Using,1
JEAN-ERIC PIN,Words,1
MARIAN H. NODINE,Transaction,1
MIRA BALABAN,Integrity,1
MANUEL ALFONSECA,Reality,1
HEIKO THIMM,Systems,1
CRAIG STANFILL,Information,1
HOCK CHUAN CHAN,Natural,1
HERMAN GEUVERS,Type,1
ZBIGNIEW MICHALEWICZ,Why,1
JULIAN DAVIES,Pop-2-based,1
GAIL E. KAISER,Environments,1
STEFANO PARABOSCHI,Language,1
SHARAD MALIK,Long,1
VOLKER WEISPFENNING,Constraints,1
MARC H. SCHOLL,Design,1
BHARAT G. MITBANDER,Data,1
JULIáN GUTIéRREZ SERRANO,With,1
CLARK ELLIOTT,Exploratory,1
F. J. BLANCO,Adam,1
KSHITIJ SHAH,Quilt,1
VIPUL KASHYAP,Multimedia,1
RICARDO LóPEZ PIETRO,An,1
JOSé BRAVO,Synchronous,1
P. BERTAINA,Codasyl,1
PAUL TARAU,Internet,1
YASUYUKI SUMI,Daily,1
SOPHIE CLUET,O2,1
JUAN DE LARA,Education,1
FRED ENGLER,Fpc,1
JOHN DARLINGTON,Languages,1
JEAN-CLAUDE MAMOU,Looks,1
EGON BöRGER,Correctness,1
RUDOLF KRUSE,The,1
RICARDO LóPEZ PIETRO,With,1
R. VENUGOPAL,Safe,1
ALEXANDRU MATEESCU,"Conjecture,",1
JAN M. ZYTKOW,Regularities,1
MARCO CREMONINI,Internet,1
DIDIER PLATEAU,Building,1
MANUEL ORTEGA,Design,1
JEFF RICKEL,Lifelike,1
JAN L. G. DIETZ,"Coherent,",1
JOHN DARLINGTON,Unification,1
DAVID SCOTT WARREN,Updates,1
ANTONIO DI LEVA,Database,1
A. J. FIELD,Logic,1
MANUEL ALFONSECA,Simulation,2
CARLOS NIETO,Relational,1
RICHARD M. KARP,Research,1
KAYLIANG ONG,Metaqueries,1
VERóNICA DAHL,Programming,2
JOXAN JAFFAR,Scheme,1
DONNA HARMAN,Other,1
STEFANO ANTONIAZZI,On-line,1
JOSé LUIS FERNáNDEZ ALEMáN,Metamodels,1
A. GONZáLEZ,Construction,1
MANUEL ORTEGA,Actions,1
SUSHIL JAJODIA,Database,1
CRESCENCIO BRAVO,Design,1
JULIáN GUTIéRREZ SERRANO,Hyperspace,1
PHILIPPE SMETS,Model,1
JOSé ÁNGEL VADILLO ZORITA,User,1
SUSHIL JAJODIA,Control,1
J. BAKER,Databases,1
HERMAN GEUVERS,Using,1
DEXTER KOZEN,Logics,1
ELIZABETH A. KENDALL,Patterns,1
SANDEEPAN BANERJEE,Data:,1
PALOMA MARTINEZ,Constraints,1
AHMED K. ELMAGARMID,Transaction,1
ALEXIEI DINGLI,Document,1
DAVID SCOTT WARREN,Logic-based,1
MANUEL ALFONSECA,Using,1
M. HOWARD WILLIAMS,Applications,1
EDWARD A. FOX,Algorithms,1
ROBERTO ZICARI,Object-oriented,1
TOMáS A. PéREZ,Strategies,1
TEODOR C. PRZYMUSINSKI,Logic,1
MANUEL ALFONSECA,Integration,1
F. J. BLANCO,Using,1
MANUEL ALFONSECA,Courses,1
SILVIA CLERICI,Code,1
PAOLO CIANCARINI,Guided,1
RAJIV GUPTA,Flow,1
TOMáS A. PéREZ,With,1
FéLIX BUENDíA,Interconnecting,1
CLEMENT T. YU,Database,1
MARTIN GAEDKE,Web-anwendungen,1
THOMAS W. REPS,Shape,1
MICHAEL D. SOO,Data,1
M. N. MORENO,Using,1
JOSé ÁNGEL VADILLO ZORITA,An,1
PIERANGELA SAMARATI,"Controls,",2
THOMAS LEMKE,Information,1
STEFANO ANTONIAZZI,Home,1
RICARDO LóPEZ PIETRO,Element,1
FELIKS KLUZNIAK,Interpreter',1
QI FAN CHEN,Hashing,1
BENJAMIN C. PIERCE,Programming,1
S. TORRES,Parameters,1
